"completed_survey","computer_id","session_id","participant_id","gse","ho_need_strength"
1,5,1,102,33,24
1,5,1,110,36,28
1,3,1,109,33,24
1,6,1,107,35,23
1,1,1,103,38,29
1,8,1,106,22,23
1,5,2,208,40,30
1,3,2,207,37,29
1,8,2,204,30,28
1,2,2,210,34,30
1,6,2,205,36,25
1,7,2,203,37,28
1,1,3,307,32,29
1,8,3,302,40,30
1,7,3,301,30,24
1,2,3,308,32,27
1,3,3,365,27,16
1,4,3,304,37,21
1,6,3,303,31,25
1,5,3,306,31,29
1,7,3,309,37,25
1,7,4,407,36,29
1,6,4,401,40,30
1,2,4,406,40,30
1,5,4,404,39,30
1,3,4,403,33,23
1,1,4,405,30,25
1,6,4,409,40,29
1,8,4,408,33,25
1,4,4,402,36,27
1,5,5,502,37,22
1,2,5,509,37,29
1,1,5,503,27,26
1,2,5,504,40,30
1,6,5,507,34,25
1,7,5,505,31,24
1,3,5,501,38,30
1,4,5,508,38,24
1,7,6,603,38,27
1,5,6,608,32,29
1,1,6,609,36,29
1,4,6,606,34,27
1,3,6,607,38,26
1,4,7,704,37,28
1,8,7,710,33,28
1,7,7,701,34,30
1,1,7,707,38,23
1,7,7,709,40,29
1,2,7,708,33,30
1,6,8,801,27,17
1,7,8,807,37,29
1,4,8,810,31,27
1,1,8,805,38,28
1,8,8,808,39,27
1,3,8,803,35,28
1,6,8,809,31,23
1,4,8,802,32,30
1,2,8,806,40,29
1,2,9,904,15,30
1,5,9,902,27,27
1,3,9,909,40,27
1,7,9,905,39,30
1,5,9,910,30,30
1,4,9,908,32,24
